day;hour; production 
2012-01-19;23; -   
2012-01-19;24; -   
2012-01-20;1; -   
2012-01-20;2; -   
2012-01-20;3; -   
2012-01-20;4; -   
2012-01-20;5; -   
2012-01-20;6; -   
2012-01-20;7; -   
2012-01-20;8; -   
2012-01-20;9; 0,180 
2012-01-20;10; 0,369 
2012-01-20;11; 0,109 
2012-01-20;12; 0,048 
2012-01-20;13; 0,365 
2012-01-20;14; -   
2012-01-20;15; 0,264 
2012-01-20;16; 0,159 
2012-01-20;17; 0,022 
2012-01-20;18; 0,395 
2012-01-20;19; -   
2012-01-20;20; 0,164 
2012-01-20;21; 0,261 
2012-01-20;22; -   
2012-01-20;23; 0,260 
2012-01-20;24; 0,113 
2012-01-21;1; -   
2012-01-21;2; 0,369 
2012-01-21;3; -   
2012-01-21;4; 0,173 
2012-01-21;5; 0,204 
2012-01-21;6; -   
2012-01-21;7; 0,409 
2012-01-21;8; -   
2012-01-21;9; -   
2012-01-21;10; -   
2012-01-21;11; -   
2012-01-21;12; -   
2012-01-21;13; -   
2012-01-21;14; -   
2012-01-21;15; -   
2012-01-21;16; -   
2012-01-21;17; -   
2012-01-21;18; -   
2012-01-21;19; -   
2012-01-21;20; -   
2012-01-21;21; -   
2012-01-21;22; -   
2012-01-21;23; 0,291 
2012-01-21;24; 0,102 
2012-01-22;1; -   
2012-01-22;2; 0,078 
2012-01-22;3; 0,222 
2012-01-22;4; -   
2012-01-22;5; -   
2012-01-22;6; -   
2012-01-22;7; -   
2012-01-22;8; -   
2012-01-22;9; 0,188 
2012-01-22;10; 0,203 
2012-01-22;11; -   
2012-01-22;12; 0,074 
2012-01-22;13; 0,248 
2012-01-22;14; -   
2012-01-22;15; 0,116 
2012-01-22;16; 0,211 
2012-01-22;17; -   
2012-01-22;18; 0,157 
2012-01-22;19; 0,174 
2012-01-22;20; -   
2012-01-22;21; 0,174 
2012-01-22;22; 0,149 
2012-01-22;23; -   
2012-01-22;24; 0,147 
2012-01-23;1; 0,172 
2012-01-23;2; -   
2012-01-23;3; 0,150 
2012-01-23;4; 0,172 
2012-01-23;5; -   
2012-01-23;6; 0,119 
2012-01-23;7; 0,199 
2012-01-23;8; -   
2012-01-23;9; -   
2012-01-23;10; -   
2012-01-23;11; -   
2012-01-23;12; -   
2012-01-23;13; -   
2012-01-23;14; -   
2012-01-23;15; -   
2012-01-23;16; -   
2012-01-23;17; -   
2012-01-23;18; -   
2012-01-23;19; -   
